Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies Inc.,Diagnostics & Research,34.92B
AA,Alcoa Corporation,Aluminum,6.23B
AAC,Ares Acquisition Corporation,Shell Companies,755.25M
AACG,ATA Creativity Global,Education & Training Services,46.91M
AACI,Armada Acquisition Corp. I,Shell Companies,94.39M
AACT,Ares Acquisition Corporation II,Shell Companies,572.06M
AADI,Aadi Bioscience Inc.,Biotechnology,196.96M
AAIC,Arlington Asset Investment Corp.,REIT - Mortgage,117.70M
AAL,American Airlines Group Inc.,Airlines,9.71B
AAMC,Altisource Asset Management Corporation,Asset Management,167.05M
AAME,Atlantic American Corporation,Insurance - Life,43.18M
AAN,'The Aaron''s Company Inc.',Rental & Leasing Services,398.41M
AAOI,Applied Optoelectronics Inc.,Semiconductors,66.27M
AAON,AAON Inc.,Building Products & Equipment,4.97B
AAP,Advance Auto Parts Inc.,Specialty Retail,4.02B
AAPL,Apple Inc.,Consumer Electronics,2.846.11B
AAT,American Assets Trust Inc.,REIT - Diversified,1.51B
AAU,Almaden Minerals Ltd.,Gold,17.18M
AB,AllianceBernstein Holding L.P.,Asset Management,4.02B
ABBV,AbbVie Inc.,Drug Manufacturers - General,241.48B
ABC,AmerisourceBergen Corporation,Medical Distribution,35.28B
ABCB,Ameris Bancorp,Banks - Regional,2.40B
ABCL,AbCellera Biologics Inc.,Biotechnology,1.96B
ABCM,Abcam plc,Biotechnology,3.88B
ABEO,Abeona Therapeutics Inc.,Biotechnology,62.16M
ABEV,Ambev S.A.,Beverages - Brewers,45.67B
ABG,Asbury Automotive Group Inc.,Auto & Truck Dealerships,4.70B
ABIO,ARCA biopharma Inc.,Biotechnology,30.41M
ABM,ABM Industries Incorporated,Specialty Business Services,3.06B
ABNB,Airbnb Inc.,Travel Services,74.41B
ABOS,Acumen Pharmaceuticals Inc.,Biotechnology,212.10M
ABR,Arbor Realty Trust Inc.,REIT - Mortgage,2.43B
ABSI,Absci Corporation,Biotechnology,173.91M
ABST,Absolute Software Corporation,Software - Application,593.88M
ABT,Abbott Laboratories,Medical Devices,181.20B
